genes,cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pass_filter,direction
AT1G01010,M1_A1,145.253269048776,-0.093848812957886,0.276189386636988,0.0859668757394374,0.931492749045667,0.995710099481803,1,Down
AT1G01020,M1_A1,44.1361178217119,-0.159849490424225,0.272747856962278,-0.612522573358501,0.540192067683246,0.995710099481803,1,Down
AT1G01030,M1_A1,44.2693888494755,0.314457847388687,0.29303642533206,1.01403723701893,0.310564984363136,0.995710099481803,1,Up
AT1G01040,M1_A1,315.304198716712,-0.0127674620665767,0.234701635589395,-0.0506915063589712,0.959571344892898,0.995710099481803,1,Down
AT1G01050,M1_A1,188.677848681152,-0.161064743400541,0.272837820065839,0.39618371750214,0.691969502218921,0.995710099481803,1,Down
AT1G01060,M1_A1,44.6025945534261,1.12462620909641,0.295443266737604,2.07300079737252,0.0381722053581304,0.995710099481803,1,Up
AT1G01070,M1_A1,5.20379403147454,-0.522378142344493,0.254395067337192,-1.17545519062886,0.239812654215387,0.995710099481803,1,Down
AT1G01073,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT1G01080,M1_A1,167.124246343886,0.0633353682853418,0.279553506518958,0.261655876639393,0.793586760932159,0.995710099481803,1,Up
AT1G01090,M1_A1,550.449354843528,-0.0633911648177161,0.266967006347987,-0.182237556756019,0.855396300420975,0.995710099481803,1,Down
AT1G01100,M1_A1,644.972275980205,-0.185807449854519,0.280567891713928,0.23097596600414,0.817333473565946,0.995710099481803,1,Down
AT1G01110,M1_A1,5.71779680583457,0.14501391122608,0.261530165916204,0.457439692565252,0.647355040067543,0.995710099481803,1,Up
AT1G01115,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT2G01008,M1_A1,67.800754409683,0.0848773648746406,0.286886890135581,0.961459739993852,0.336321059101566,0.995710099481803,1,Up
AT2G01021,M1_A1,9583.3480228415,0.144456304220532,0.289490933124744,1.06135121259077,0.288530319868766,0.995710099481803,1,Up
AT2G01023,M1_A1,2.43934361912627,0.133805817289386,0.226847694396298,-0.100254415963234,0.920142345888024,0.995710099481803,1,Up
