"ID","Description","padj","Count"
"C0007124","Noninfiltrating Intraductal Carcinoma",1.56825149500072e-07,24
"C3642347","Basal-Like Breast Carcinoma",3.03899325340052e-06,16
"C1609538","Latent Tuberculosis",3.03899325340052e-06,14
"C1827293","Carcinoma of urinary bladder, invasive",1.53594727639733e-05,16
"C0278601","Inflammatory Breast Carcinoma",1.68980818582336e-05,13
"C4733092","estrogen receptor-negative breast cancer",3.48141372206105e-05,17
"C0023646","Lichen Planus",3.74690311339272e-05,10
"C3160887","Node-positive breast cancer",4.36012395643941e-05,7
"C0021368","Inflammation",4.64991578771463e-05,19
"C0853879","Invasive carcinoma of breast",5.10128647705805e-05,19
"C3642345","Luminal A Breast Carcinoma",8.55526731075676e-05,11
"C0679427","myeloblastosis",0.000122849968644833,8
"C0039103","Synovitis",0.000122849968644833,12
"C0524910","Hepatitis C, Chronic",0.000202441446519721,17
"C3875321","Inflammatory dermatosis",0.000202441446519721,16
"C1739135","Progression of prostate cancer",0.000324949770426396,16
"C3887524","Skin Erosion",0.000384235380167941,12
"C3839280","High grade serous carcinoma",0.000410781720227209,9
"C0036202","Sarcoidosis",0.000442083814034348,16
"C0220636","Malignant neoplasm of salivary gland",0.000482095031749541,8
"C0333307","Superficial ulcer",0.00066251203089539,12
"C0001342","Acute periodontitis",0.000751054429393922,9
"C0238461","Anaplastic thyroid carcinoma",0.000846939579294659,15
"C0011603","Dermatitis",0.000846939579294659,17
"C0282160","Aplasia Cutis Congenita",0.000846939579294659,15
"C0278701","Gastric Adenocarcinoma",0.00104123540641096,16
"C0242787","Malignant neoplasm of male breast",0.00104123540641096,7
"C0751690","Malignant Peripheral Nerve Sheath Tumor",0.00107518002818062,12
"C0151449","Primary SjC6gren's syndrome",0.00123537294476105,13
"C1136382","Sclerocystic Ovaries",0.00123537294476105,9
"C1134719","Invasive Ductal Breast Carcinoma",0.00123537294476105,15
"C2112532","Postmenopausal endometrium",0.00123537294476105,4
"C0031106","Aggressive Periodontitis",0.0012638997782365,10
"C0812413","Malignant Pleural Mesothelioma",0.0014142317900763,15
"C0024205","Lymphadenitis",0.00150250595642151,6
"C1527336","Sjogren's Syndrome",0.001593002758406,16
"C0010278","Craniosynostosis",0.00185044033054658,16
"C0238033","Carcinoma of Male Breast",0.0019802674179197,7
"C2959467","Tuberculous pleural effusion",0.00221063626064507,5
"C1384600","Systemic onset juvenile chronic arthritis",0.00234886266304986,7
"C0018133","Graft-vs-Host Disease",0.00236135546124169,15
"C0022548","Keloid",0.00264956974319462,9
"C0030805","Bullous pemphigoid",0.00264956974319462,8
"C4551687","Sarcoma of soft tissue",0.00331140328432372,11
"C0041327","Tuberculosis, Pulmonary",0.00340441188209934,13
"C0279628","Adenocarcinoma Of Esophagus",0.0035639728964367,15
"C1292778","Chronic myeloproliferative disorder",0.00408855830840175,13
"C0206687","Carcinoma, Endometrioid",0.00450358527262094,10
"C0279671","Cervical Squamous Cell Carcinoma",0.00450358527262094,13
"C1176475","Ductal Carcinoma",0.00481214832398948,11
